"","CityTown","Nearby T21 Ratio","year"
"1","Acton",0.005,2005
"2","Adams",0,2005
"3","Amherst",0,2005
"4","Andover",0.006,2005
"5","Arlington",0.005,2005
"6","Ashland",0.004,2005
"7","Attleboro",0.005,2005
"8","Belchertown",0,2005
"9","Belmont",0.005,2005
"10","Blackstone",0.005,2005
"11","Boston",0.005,2005
"12","Braintree",0.005,2005
"13","Brewster",0,2005
"14","Bridgewater",0.005,2005
"15","Brimfield",0,2005
"16","Brockton",0.005,2005
"17","Brookline",0.005,2005
"18","Buckland",0,2005
"19","Cambridge",0.005,2005
"20","Canton",0.005,2005
"21","Carver",0.007,2005
"22","Charlemont",0,2005
"23","Chelmsford",0.005,2005
"24","Chelsea",0.005,2005
"25","Cohasset",0.005,2005
"26","Concord",0.005,2005
"27","Danvers",0.006,2005
"28","Dedham",0.005,2005
"29","Deerfield",0,2005
"30","Dover",0.004,2005
"31","Duxbury",0.006,2005
"32","Eastham",0,2005
"33","Easton",0.005,2005
"34","Egremont",0,2005
"35","Essex",0.007,2005
"36","Falmouth",0,2005
"37","Foxborough",0.005,2005
"38","Framingham",0.004,2005
"39","Franklin",0.005,2005
"40","Gill",0,2005
"41","Gloucester",0.007,2005
"42","Grafton",0.004,2005
"43","Great Barrington",0,2005
"44","Greenfield",0,2005
"45","Hadley",0,2005
"46","Hamilton",0.006,2005
"47","Hanover",0.005,2005
"48","Halifax",0.006,2005
"49","Hatfield",0,2005
"50","Holbrook",0.005,2005
"51","Holyoke",0,2005
"52","Hopedale",0.004,2005
"53","Hudson",0.004,2005
"54","Hull",0.005,2005
"55","Kingston",0.006,2005
"56","Lanesborough",0,2005
"57","Lawrence",0.006,2005
"58","Lee",0,2005
"59","Lenox",0,2005
"60","Leverett",0,2005
"61","Lexington",0.005,2005
"62","Lincoln",0.005,2005
"63","Lowell",0.005,2005
"64","Malden",0.005,2005
"65","Mansfield",0.005,2005
"66","Marblehead",0.006,2005
"67","Marion",0.009,2005
"68","Marlborough",0.004,2005
"69","Marshfield",0.006,2005
"70","Mashpee",0,2005
"71","Maynard",0.004,2005
"72","Medfield",0.004,2005
"73","Medford",0.005,2005
"74","Medway",0.004,2005
"75","Melrose",0.005,2005
"76","Mendon",0.005,2005
"77","Methuen",0.006,2005
"78","Middleton",0.006,2005
"79","Millis",0.004,2005
"80","Milford",0.004,2005
"81","Milton",0.005,2005
"82","Montague",0,2005
"83","Natick",0.004,2005
"84","Needham",0,2005
"85","Newton",0.005,2005
"86","Norfolk",0.005,2005
"87","North Adams",0,2005
"88","North Andover",0.006,2005
"89","North Attleboro",0.005,2005
"90","North Reading",0.005,2005
"91","Northampton",0,2005
"92","Northborough",0.004,2005
"93","Norwell",0.005,2005
"94","Norwood",0.005,2005
"95","Orleans",0,2005
"96","Peabody",0.006,2005
"97","Pittsfield",0,2005
"98","Plainville",0.005,2005
"99","Provincetown",0,2005
"100","Reading",0.005,2005
"101","Randolph",0.005,2005
"102","Rockport",0.008,2005
"103","Salem",0.006,2005
"104","Saugus",0.005,2005
"105","Scituate",0.005,2005
"106","Sharon",0.005,2005
"107","Shelburne",0,2005
"108","Sherborn",0.004,2005
"109","Somerville",0.005,2005
"110","South Hadley",0,2005
"111","Southampton",0,2005
"112","Southborough",0.004,2005
"113","Southwick",0,2005
"114","Stockbridge",0,2005
"115","Stoneham",0.005,2005
"116","Stoughton",0.005,2005
"117","Sunderland",0,2005
"118","Swampscott",0.005,2005
"119","Tewksbury",0.005,2005
"120","Topsfield",0.006,2005
"121","Townsend",0.005,2005
"122","Tyngsborough",0.005,2005
"123","Wakefield",0.005,2005
"124","Walpole",0.005,2005
"125","Waltham",0.005,2005
"126","Wareham",0.008,2005
"127","Watertown",0.005,2005
"128","Wayland",0.005,2005
"129","Wellesley",0.004,2005
"130","Westfield",0,2005
"131","Westford",0.005,2005
"132","Weston",0.005,2005
"133","Westwood",0.004,2005
"134","Whately",0,2005
"135","Whitman",0.005,2005
"136","Williamstown",0,2005
"137","Wilmington",0.005,2005
"138","Winchester",0.005,2005
"139","Worcester",0.004,2005
"140","Yarmouth",0,2005
"141","Abington",0.005,2005
"142","Acushnet",0.008,2005
"143","Agawam",0,2005
"144","Alford",0,2005
"145","Amesbury",0.009,2005
"146","Aquinnah",0,2005
"147","Ashburnham",0.005,2005
"148","Ashby",0.005,2005
"149","Ashfield",0,2005
"150","Athol",0,2005
"151","Auburn",0.004,2005
"152","Avon",0.005,2005
"153","Ayer",0.005,2005
"154","Barnstable",0,2005
"155","Barre",0.005,2005
"156","Becket",0,2005
"157","Bedford",0.005,2005
"158","Bellingham",0.005,2005
"159","Berkley",0.006,2005
"160","Berlin",0.004,2005
"161","Bernardston",0,2005
"162","Beverly",0.006,2005
"163","Billerica",0.005,2005
"164","Blandford",0,2005
"165","Bolton",0.004,2005
"166","Bourne",0.01,2005
"167","Boxborough",0.005,2005
"168","Boxford",0.006,2005
"169","Boylston",0.004,2005
"170","Brookfield",0.005,2005
"171","Burlington",0.005,2005
"172","Carlisle",0.005,2005
"173","Charlton",0.005,2005
"174","Chatham",0,2005
"175","Cheshire",0,2005
"176","Chester",0,2005
"177","Chesterfield",0,2005
"178","Chicopee",0,2005
"179","Chilmark",0,2005
"180","Clarksburg",0,2005
"181","Clinton",0.004,2005
"182","Colrain",0,2005
"183","Conway",0,2005
"184","Cummington",0,2005
"185","Dalton",0,2005
"186","Dartmouth",0.01,2005
"187","Dennis",0,2005
"188","Dighton",0.006,2005
"189","Douglas",0.005,2005
"190","Dracut",0.005,2005
"191","Dudley",0.005,2005
"192","Dunstable",0.005,2005
"193","East Bridgewater",0.005,2005
"194","East Brookfield",0.005,2005
"195","East Longmeadow",0,2005
"196","Easthampton",0,2005
"197","Edgartown",0,2005
"198","Erving",0,2005
"199","Everett",0.005,2005
"200","Fairhaven",0.01,2005
"201","Fall River",0.008,2005
"202","Fitchburg",0.005,2005
"203","Florida",0,2005
"204","Freetown",0.007,2005
"205","Gardner",0.005,2005
"206","Georgetown",0.006,2005
"207","Goshen",0,2005
"208","Gosnold",0,2005
"209","Granby",0,2005
"210","Granville",0,2005
"211","Groton",0.005,2005
"212","Groveland",0.007,2005
"213","Hampden",0,2005
"214","Hancock",0,2005
"215","Hanson",0.005,2005
"216","Hardwick",0.006,2005
"217","Harvard",0.005,2005
"218","Harwich",0,2005
"219","Haverhill",0.007,2005
"220","Hawley",0,2005
"221","Heath",0,2005
"222","Hingham",0.005,2005
"223","Hinsdale",0,2005
"224","Holden",0.005,2005
"225","Holland",0.006,2005
"226","Holliston",0.004,2005
"227","Hopkinton",0.004,2005
"228","Hubbardston",0.005,2005
"229","Huntington",0,2005
"230","Ipswich",0.007,2005
"231","Lakeville",0.006,2005
"232","Lancaster",0.004,2005
"233","Leicester",0.005,2005
"234","Leominster",0.005,2005
"235","Leyden",0,2005
"236","Littleton",0.005,2005
"237","Longmeadow",0,2005
"238","Ludlow",0,2005
"239","Lunenburg",0.005,2005
"240","Lynn",0.005,2005
"241","Lynnfield",0.005,2005
"242","Manchester-by-the-Sea",0.006,2005
"243","Mattapoisett",0.01,2005
"244","Merrimac",0.008,2005
"245","Middleborough",0.006,2005
"246","Middlefield",0,2005
"247","Millbury",0.004,2005
"248","Millville",0.005,2005
"249","Monroe",0,2005
"250","Monson",0,2005
"251","Monterey",0,2005
"252","Montgomery",0,2005
"253","Mount Washington",0,2005
"254","Nahant",0.005,2005
"255","Nantucket",0,2005
"256","New Ashford",0,2005
"257","New Bedford",0.01,2005
"258","New Braintree",0.005,2005
"259","New Marlborough",0,2005
"260","New Salem",0,2005
"261","Newbury",0.007,2005
"262","Newburyport",0.008,2005
"263","North Brookfield",0.005,2005
"264","Northbridge",0.004,2005
"265","Northfield",0,2005
"266","Norton",0.005,2005
"267","Oak Bluffs",0,2005
"268","Oakham",0.005,2005
"269","Orange",0,2005
"270","Otis",0,2005
"271","Oxford",0.005,2005
"272","Palmer",0,2005
"273","Paxton",0.005,2005
"274","Pelham",0,2005
"275","Pembroke",0.005,2005
"276","Pepperell",0.005,2005
