,CityTown,lon,lat
1,"Acton , Massachusetts",-71.43284,42.4850931
2,"Adams , Massachusetts",-73.1174344,42.6242251
3,"Amherst , Massachusetts",-72.5199,42.3732
4,"Andover , Massachusetts",-71.1368,42.6583
5,"Arlington , Massachusetts",-71.1564729,42.4153925
6,"Ashland , Massachusetts",-71.4634,42.2612
7,"Attleboro , Massachusetts",-71.2856082,41.9445441
8,"Belchertown , Massachusetts",-72.4008884,42.2770346
9,"Belmont , Massachusetts",-71.1776114,42.3956405
10,"Blackstone , Massachusetts",-71.536786,42.0418415
11,"Boston , Massachusetts",-71.0588801,42.3600825
12,"Braintree , Massachusetts",-71.0040013,42.2079017
13,"Brewster , Massachusetts",-70.0828,41.7601
14,"Bridgewater , Massachusetts",-70.9750541,41.9903519
15,"Brimfield , Massachusetts",-72.2005,42.1225
16,"Brockton , Massachusetts",-71.0183787,42.0834335
17,"Brookline , Massachusetts",-71.1211635,42.3317642
18,"Buckland , Massachusetts",-72.7917601,42.592307
19,"Cambridge , Massachusetts",-71.1097335,42.3736158
20,"Canton , Massachusetts",-71.1447732,42.1584324
21,"Carver , Massachusetts",-70.7625376,41.8834363
22,"Charlemont , Massachusetts",-72.8698183,42.627862
23,"Chelmsford , Massachusetts",-71.3672838,42.5998139
24,"Chelsea , Massachusetts",-71.0328284,42.3917638
25,"Cohasset , Massachusetts",-70.8036544,42.2417675
26,"Concord , Massachusetts",-71.3489484,42.4603719
27,"Danvers , Massachusetts",-70.932122,42.5750009
28,"Dedham , Massachusetts",-71.1677,42.2436
29,"Deerfield , Massachusetts",-72.6056435,42.5445588
30,"Dover , Massachusetts",-71.2828719,42.2458749
31,"Duxbury , Massachusetts",-70.6722767,42.0417525
32,"Eastham , Massachusetts",-69.9740361,41.8299634
33,"Easton , Massachusetts",-71.1287,42.0245
34,"Egremont , Massachusetts",-73.4415929,42.1777247
35,"Essex , Massachusetts",-70.7829315,42.6319582
36,"Falmouth , Massachusetts",-70.6085886,41.5532208
37,"Foxborough , Massachusetts",-71.2478,42.0654
38,"Framingham , Massachusetts",-71.4161565,42.279286
39,"Franklin , Massachusetts",-71.396725,42.0834313
40,"Gill , Massachusetts",-72.4996367,42.6408105
41,"Gloucester , Massachusetts",-70.662,42.6159
