"","Name","Type","County","Form of government","Population.x","Year","X__1","T21Date","FIPS","State","Premature death","Years of Potential Life Lost Rate","Quartile","% Fair/Poor","Quartile__1","Physically Unhealthy Days","Quartile__2","Mentally Unhealthy Days","Quartile__3","Unreliable","# Low Birthweight Births","# Live Births","% LBW","Quartile__4","% Smokers","Quartile__5","% Obese","Quartile__6","Food Environment Index","Quartile__7","% Physically Inactive","Quartile__8","% With Access","Quartile__9","% Excessive Drinking","Quartile__10","# Alcohol-Impaired Driving Deaths","# Driving Deaths","% Alcohol-Impaired","Quartile__11","# Chlamydia Cases","Chlamydia Rate","Quartile__12","Teen Births","Teen Population","Teen Birth Rate","Quartile__13","# Uninsured","% Uninsured","Quartile__14","# Primary Care Physicians","PCP Rate","PCP Ratio","Quartile__15","# Dentists","Dentist Rate","Dentist Ratio","Quartile__16","# Mental Health Providers","MHP Rate","MHP Ratio","Quartile__17","# Medicare Enrollees","Preventable Hosp. Rate","Quartile__18","# Diabetics","% Receiving HbA1c","Quartile__19","# Medicare Enrollees__1","% Mammography","Quartile__20","Cohort Size","Graduation Rate","Quartile__21","# Some College","Population.y","% Some College","Quartile__22","# Unemployed","Labor Force","% Unemployed","Quartile__23","% Children in Poverty","Quartile__24","% Children in Poverty - Black","% Children in Poverty - Hispanic","% Children in Poverty - White","80th Percentile Income","20th Percentile Income","Income Ratio","Quartile__25","# Single-Parent Households","# Households","% Single-Parent Households","Quartile__26","# Associations","Association Rate","Quartile__27","# Violent Crimes","Violent Crime Rate","Quartile__28","# Injury Deaths","Injury Death Rate","Quartile__29","Average Daily PM2.5","Quartile__30","Presence of violation","Quartile__31","# Households with Severe Problems","% Severe Housing Problems","Quartile__32","% Drive Alone","Quartile__33","% Drive Alone - Black","% Drive Alone - Hispanic","% Drive Alone - White","# Workers who Drive Alone","% Long Commute - Drives Alone","Quartile__34"
"1","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,NA,"25023","Massachusetts",5179,5736.3,3,12.932690816,3,3.2979653377,2,4.157563458,4,NA,2639,36530,7.2241992883,2,16.179049691,4,27.8,4,8.3,2,22.9,4,85.824549068,3,22.659203492,4,63,194,32.474226804,4,1176,234.3,3,1613,117831,13.689097097,2,14075,3.3779891904,1,321,63.31086,"1580:1",4,358,70.14203,"1426:1",3,2202,431.43225,"232:1",4,59284,56.52,4,6928,91.021939954,2,5798,74.76716109,2,6362,90.239704495,2,78301,114663,68.28793944,3,13992,267574,5.2292076211,2,12.4,2,29.77652353,27.675089028,6.8894271055,140487,31277,4.4917031685,1,31618,114234,27.678274419,1,412,8.1258801393,4,1854.3333333,404.35479135,3,1382,54.913878191,3,8.7,3,"Yes",1,31060,17.292542382,2,81.189873213,3,73.981488806,70.629479589,84.804682979,200690,46.3,4
"2","Acton","Town","Middlesex","Open town meeting","21924.0",1735,1,2015-01-01 05:00:00,"25017","Massachusetts",11403,4120.7,1,10.851879904,1,2.7181453215,1,3.4476376243,1,NA,9222,124140,7.4287095215,3,11.843819748,1,22.6,3,8.8,1,19.8,3,96.575642761,1,19.020107134,1,55,228,24.122807018,2,3714,239.2,3,3216,343986,9.3492177007,1,41504,3.1822290785,1,2003,127.55403,"784:1",1,1460,92.10549,"1086:1",1,7470,471.25205,"212:1",3,132574,49.21,2,12976,91.199136868,1,11009,75.819783813,1,16676,90.87248141,1,351407,443590,79.218873284,1,34731,857671,4.0494548609,1,8.2,1,30.392103693,24.359461276,5.1496649015,164983,32382,5.0948984003,3,66117,320055,20.658011904,1,1478,9.412124319,3,3164,206.55078468,1,3287,42.338376757,1,9.6,4,"Yes",1,99845,17.181477148,1,68.853866055,1,62.472111691,58.570266874,77.912281626,562355,45.7,4
"3","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,NA,"25005","Massachusetts",6139,6409.8,4,15.755457609,4,4.2965625531,4,4.5390659675,4,NA,3315,40907,8.1037475249,4,17.31210397,4,28.3,4,8,3,25.1,4,95.07154126,2,17.664877204,1,62,221,28.054298643,2,1352,244.6,3,2732,130193,20.984231103,4,19640,4.3037425468,4,297,53.59134,"1866:1",4,342,61.4255,"1628:1",4,2224,399.44537,"250:1",4,62218,63.22,4,8844,90.682948892,2,5605,76.37823372,1,6121,86.756003921,4,84288,138712,60.764749986,4,18144,288062,6.2986440419,4,17.3,4,30.551675978,48.675448755,11.282874004,115000,21220,5.4194156456,4,40236,116763,34.45954626,3,477,8.6070942666,4,2872,518.29928535,4,1681,60.823156943,4,8.2,2,"Yes",1,39010,18.57309496,3,82.101780609,4,72.487702038,61.425406204,85.176073086,215651,36.5,3
"4","Adams","Town","Berkshire","Representative town meeting","8485.0",1778,2,2016-10-31 00:00:00,"25003","Massachusetts",1542,6440.9,4,12.64714634,2,3.358344603,2,4.1014791085,3,NA,615,7971,7.7154685736,4,14.481056801,2,23.7,3,7.9,4,19.3,3,78.98094026,4,19.061757971,2,16,54,29.62962963,4,100,77.2,1,608,31640,19.216182048,3,3928,4.0273961367,3,140,108.76743,"919:1",2,105,82.14163,"1217:1",2,906,708.7649,"141:1",1,22747,40.5,1,2255,91.130820399,1,1882,71.307120085,4,1366,87.837481698,3,16914,27199,62.186109783,4,3658,65608,5.5755395683,3,19.6,4,36.029411765,41.505911637,15.703617393,101023,20561,4.9133310637,2,8496,22826,37.220713222,3,147,11.420580352,2,383.33333333,317.17925593,2,419,64.800294462,4,7.9,1,"Yes",1,9720,17.576853526,2,77.599282394,3,57.198192382,59.080370943,80.031078674,47580,23.3,1
"5","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,NA,"25013","Massachusetts",4970,6486.4,4,18.605346606,4,4.4980706433,4,4.6422572462,4,NA,3155,38255,8.2472879362,4,18.19831852,4,27.5,4,8,3,24.7,4,93.56016311,2,19.22387805,2,43,153,28.104575163,3,2375,508.2,4,4081,122209,33.393612582,4,16185,4.2016261345,3,328,70.06137,"1427:1",4,366,77.75818,"1286:1",2,3321,705.55992,"142:1",1,43084,59.54,4,5305,90.518378888,3,3649,71.142778844,4,5684,79.153501056,4,66719,112782,59.15748967,4,14967,221258,6.7645011706,4,27.4,4,31.707765918,50.574498644,9.6301600511,104161,18412,5.6572344123,4,50401,105235,47.893761581,4,415,8.8644718377,4,2790.6666667,604.90542753,4,1324,56.681090948,4,8.8,3,"Yes",1,34930,19.624698017,3,82.518561835,4,74.552019256,71.819302395,86.598801369,172156,27.4,2
"6","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,NA,"25003","Massachusetts",1542,6440.9,4,12.64714634,2,3.358344603,2,4.1014791085,3,NA,615,7971,7.7154685736,4,14.481056801,2,23.7,3,7.9,4,19.3,3,78.98094026,4,19.061757971,2,16,54,29.62962963,4,100,77.2,1,608,31640,19.216182048,3,3928,4.0273961367,3,140,108.76743,"919:1",2,105,82.14163,"1217:1",2,906,708.7649,"141:1",1,22747,40.5,1,2255,91.130820399,1,1882,71.307120085,4,1366,87.837481698,3,16914,27199,62.186109783,4,3658,65608,5.5755395683,3,19.6,4,36.029411765,41.505911637,15.703617393,101023,20561,4.9133310637,2,8496,22826,37.220713222,3,147,11.420580352,2,383.33333333,317.17925593,2,419,64.800294462,4,7.9,1,"Yes",1,9720,17.576853526,2,77.599282394,3,57.198192382,59.080370943,80.031078674,47580,23.3,1
"7","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,NA,"25009","Massachusetts",6885,5232.2,2,13.519249126,3,3.1882789865,1,3.9939707657,2,NA,4368,58093,7.5189781901,3,14.623649328,2,25.5,3,8.6,1,20.5,3,96.724792406,1,19.052302415,2,44,163,26.993865031,2,2622,343.8,4,3438,178213,19.291521943,4,25423,3.9892544489,2,610,79.31441,"1261:1",3,655,84.40254,"1185:1",2,3560,458.73747,"218:1",3,81513,58.26,4,8693,90.797193144,2,7106,74.570785252,2,8689,87.439924042,3,125928,184962,68.083173841,3,20928,405706,5.1584152071,2,16.6,3,31.179879176,35.380577428,7.5080750133,138699,25573,5.4236499433,4,57519,168430,34.150092026,3,692,8.9976348703,4,2904,382.17465803,3,1968,51.623300995,2,9.4,4,"Yes",1,55080,19.2580679,3,75.036538171,2,69.993093923,59.402295846,81.176423125,282890,40.9,3
"8","Amherst","Town","Hampshire","Representative town meeting","37819.0",1775,3,2015-08-15 00:00:00,"25015","Massachusetts",1344,4859.2,2,11.818070886,1,3.3806639708,2,4.0656681954,3,NA,480,7844,6.119326874,1,15.258144091,3,18.9,1,8.1,3,15.3,1,85.651568826,4,20.346192088,3,11,39,28.205128205,3,270,169.2,2,276,68899,4.0058636555,1,4452,3.8489137107,2,227,141.04723,"709:1",1,109,67.5793,"1480:1",4,1189,737.17233,"136:1",1,16676,43.98,1,1538,91.287386216,1,1432,75.558659218,2,1534,90.934159061,1,25588,32747,78.138455431,1,3835,86635,4.4266174179,1,11.6,2,27.068965517,31.348425197,9.8487903226,119082,23664,5.0322008114,3,7671,24783,30.952669168,2,149,9.2581661375,3,390.66666667,248.897799,1,348,43.530253526,1,8.5,2,"Yes",1,10220,17.37208907,2,70.936862798,2,51.937309534,55.097996036,71.596561253,58098,35.1,2
"9","Andover","Town","Essex","Open town meeting","33201.0",1646,4,2015-02-01 00:00:00,"25009","Massachusetts",6885,5232.2,2,13.519249126,3,3.1882789865,1,3.9939707657,2,NA,4368,58093,7.5189781901,3,14.623649328,2,25.5,3,8.6,1,20.5,3,96.724792406,1,19.052302415,2,44,163,26.993865031,2,2622,343.8,4,3438,178213,19.291521943,4,25423,3.9892544489,2,610,79.31441,"1261:1",3,655,84.40254,"1185:1",2,3560,458.73747,"218:1",3,81513,58.26,4,8693,90.797193144,2,7106,74.570785252,2,8689,87.439924042,3,125928,184962,68.083173841,3,20928,405706,5.1584152071,2,16.6,3,31.179879176,35.380577428,7.5080750133,138699,25573,5.4236499433,4,57519,168430,34.150092026,3,692,8.9976348703,4,2904,382.17465803,3,1968,51.623300995,2,9.4,4,"Yes",1,55080,19.2580679,3,75.036538171,2,69.993093923,59.402295846,81.176423125,282890,40.9,3
"10","Aquinnah","Town","Dukes","Open town meeting","311.0",1870,NA,NA,"25007","Massachusetts",141,4018.5,1,12.010883585,2,3.4023343891,3,3.9458101686,2,NA,69,1172,5.8873720137,1,14.88625646,2,22,2,8.2,2,17.7,2,80.411248866,4,18.971859852,1,1,5,20,1,13,75.3,1,19,2912,6.5247252747,1,653,4.7229856792,4,15,86.42544,"1157:1",3,10,57.80681,"1730:1",4,84,485.5772,"206:1",2,3332,45.24,2,278,87.769784173,4,334,64.97005988,4,177,91.511299435,1,2837,3914,72.483392948,1,640,9328,6.8610634648,4,13.4,2,NA,NA,20.283496456,121565,26833,4.5304289494,1,1185,3144,37.690839695,4,37,21.3182761,1,31.5,209.59478342,1,45,52.497725099,2,6.8,1,"No",1,1575,26.740237691,4,74.254183847,2,NA,NA,73.334202634,6123,4.6,1
"11","Arlington","Town","Middlesex","Representative town meeting","42844.0",1807,5,2015-07-21 00:00:00,"25017","Massachusetts",11403,4120.7,1,10.851879904,1,2.7181453215,1,3.4476376243,1,NA,9222,124140,7.4287095215,3,11.843819748,1,22.6,3,8.8,1,19.8,3,96.575642761,1,19.020107134,1,55,228,24.122807018,2,3714,239.2,3,3216,343986,9.3492177007,1,41504,3.1822290785,1,2003,127.55403,"784:1",1,1460,92.10549,"1086:1",1,7470,471.25205,"212:1",3,132574,49.21,2,12976,91.199136868,1,11009,75.819783813,1,16676,90.87248141,1,351407,443590,79.218873284,1,34731,857671,4.0494548609,1,8.2,1,30.392103693,24.359461276,5.1496649015,164983,32382,5.0948984003,3,66117,320055,20.658011904,1,1478,9.412124319,3,3164,206.55078468,1,3287,42.338376757,1,9.6,4,"Yes",1,99845,17.181477148,1,68.853866055,1,62.472111691,58.570266874,77.912281626,562355,45.7,4
"12","Ashburnham","Town","Worcester","Open town meeting","6081.0",1765,NA,NA,"25027","Massachusetts",7872,5700.3,3,13.87208061,4,3.5785862145,3,3.951719279,2,NA,4644,62041,7.4853725762,3,17.156909936,4,27,4,8.3,2,20.8,4,91.200197357,3,20.689806914,3,74,259,28.571428571,3,1709,211.2,2,3496,200234,17.4595723,3,23927,3.5293059096,1,839,103.13777,"970:1",2,560,68.37916,"1462:1",3,3381,412.83916,"242:1",4,57722,51.98,3,6869,89.634590188,3,5123,71.989068905,3,9725,88.433316195,2,137672,202813,67.881250216,4,22512,425290,5.2933292577,3,15.2,3,29.221885649,41.017844862,9.6939559329,127252,25196,5.0504842038,3,54733,178651,30.636828229,1,734,9.0230185316,3,3492.6666667,435.18132417,4,2117,52.285366963,2,9,3,"Yes",1,49530,16.528456777,1,81.71826782,4,75.268528464,67.283658226,83.80299309,323065,41.8,3
"13","Ashby","Town","Middlesex","Open town meeting","3074.0",1767,NA,NA,"25017","Massachusetts",11403,4120.7,1,10.851879904,1,2.7181453215,1,3.4476376243,1,NA,9222,124140,7.4287095215,3,11.843819748,1,22.6,3,8.8,1,19.8,3,96.575642761,1,19.020107134,1,55,228,24.122807018,2,3714,239.2,3,3216,343986,9.3492177007,1,41504,3.1822290785,1,2003,127.55403,"784:1",1,1460,92.10549,"1086:1",1,7470,471.25205,"212:1",3,132574,49.21,2,12976,91.199136868,1,11009,75.819783813,1,16676,90.87248141,1,351407,443590,79.218873284,1,34731,857671,4.0494548609,1,8.2,1,30.392103693,24.359461276,5.1496649015,164983,32382,5.0948984003,3,66117,320055,20.658011904,1,1478,9.412124319,3,3164,206.55078468,1,3287,42.338376757,1,9.6,4,"Yes",1,99845,17.181477148,1,68.853866055,1,62.472111691,58.570266874,77.912281626,562355,45.7,4
"14","Ashfield","Town","Franklin","Open town meeting","1737.0",1765,NA,NA,"25011","Massachusetts",806,6107.8,3,13.300617402,3,3.674788213,4,4.0251392425,3,NA,290,4366,6.6422354558,1,14.973397185,3,21,2,8.2,2,17.1,1,72.234209494,4,18.753851702,1,6,30,20,1,131,183.9,2,273,14110,19.347980156,4,2061,3.5833507198,2,55,77.61565,"1288:1",3,44,62.32206,"1605:1",4,474,671.37859,"149:1",2,8384,52.72,3,871,89.207807118,4,817,72.337821297,3,783,84.482758621,4,11608,16559,70.100851501,2,1777,39341,4.5169161943,1,16.9,3,66.326530612,34.042553191,12.195568577,100820,22754,4.4308692977,1,4089,12982,31.497458019,2,86,12.136264853,1,225,371.64078028,2,190,53.397335192,3,8.1,2,"Yes",1,4830,15.817913869,1,77.651702023,3,NA,65.587419056,76.577076855,28332,34.4,2
