"","Name","Type","County","Form of government","Population","FormYear","T21Date","Year","FIPS","State","Smoking rank","Diet and Exercise Rank","Alcohol useRank","Unsafe Sex Rank","Access to Care Rank","Quality of care Rank","Education Rank","Employment Rank","Income Rank","Family and social support Rank","Community Rank","Air Quality Rank","Built Enviornment Rank","Mortality Rank","Morbidity Rank","Health Behaviors Rank","Clinical Care Rank","Social Economic factors Rank","Physical Enviornment Rank","T21year","MAYOR","LENGTH OF TERM","NEXT ELECTION","mayor_ind"
"1","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,NA,NA,NA,0
"2","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,NA,NA,NA,0
"3","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2012,"25023","Massachusetts",13,7,12,7,10,13,4,10,4,6,8,2,9,8,7,10,13,6,3,NA,NA,NA,NA,0
"4","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2013,"25023","Massachusetts",12,7,12,7,8,13,7,9,4,6,8,13,9,9,10,10,10,6,14,NA,NA,NA,NA,0
"5","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2014,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,10,6,8,NA,NA,NA,NA,0
"6","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2015,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,8,6,9,NA,NA,NA,NA,0
"7","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2016,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,12,8,6,8,NA,NA,NA,NA,0
"8","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2017,"25023","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,12,8,6,11,NA,NA,NA,NA,0
"9","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2011,"25017","Massachusetts",1,7,2,4,6,8,2,4,3,4,3,5,5,2,5,2,6,3,4,2015,NA,NA,NA,0
"10","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2010,"25017","Massachusetts",2,6,2,3,6,9,2,3,4,3,2,7,3,3,5,3,6,2,3,2015,NA,NA,NA,0
"11","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2012,"25017","Massachusetts",1,8,2,4,3,6,2,2,2,3,4,5,4,1,6,3,5,2,4,2015,NA,NA,NA,0
"12","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2013,"25017","Massachusetts",1,8,1,4,2,7,2,1,2,2,4,4,5,2,4,3,5,2,2,2015,NA,NA,NA,0
"13","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2014,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,2,6,2015,NA,NA,NA,0
"14","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2015,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,2,4,2015,NA,NA,NA,0
"15","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2016,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,3,5,2,6,2015,NA,NA,NA,0
"16","Acton","Town","Middlesex","Open town meeting","21924.0",1735,2015-01-01,2017,"25017","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,10,2015,NA,NA,NA,0
"17","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2011,"25005","Massachusetts",14,14,10,12,12,10,13,14,11,12,12,12,6,12,12,13,12,12,8,NA,NA,NA,NA,0
"18","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2010,"25005","Massachusetts",14,14,12,12,10,11,13,14,10,12,12,4,1,12,12,14,12,12,1,NA,NA,NA,NA,0
"19","Acushnet","Town","Bristol","Open town meeting","10303.0",1860,NA,2012,"25005","Massachusetts",14,14,11,11,13,10,12,14,11,12,12,12,7,13,12,14,14,12,12,NA,NA,NA,NA,0
