"","Name","Type","County","Form of government","Population","FormYear","T21Date","Year","FIPS","State","Smoking rank","Diet and Exercise Rank","Alcohol useRank","Unsafe Sex Rank","Access to Care Rank","Quality of care Rank","Education Rank","Employment Rank","Income Rank","Family and social support Rank","Community Rank","Air Quality Rank","Built Enviornment Rank","Mortality Rank","Morbidity Rank","Health Behaviors Rank","Clinical Care Rank","Social Economic factors Rank","Physical Enviornment Rank","T21year","Event"
"1","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,"0"
"2","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,"0"
"3","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,"0"
"4","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,"0"
"5","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,"0"
"6","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,"0"
"7","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,"0"
"8","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2011,"25023","Massachusetts",13,7,12,7,11,12,8,10,3,6,8,2,3,8,8,10,14,7,3,NA,"0"
"9","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,"0"
"10","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,"0"
"11","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,"0"
"12","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,"0"
"13","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,"0"
"14","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,"0"
"15","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,"0"
"16","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2010,"25023","Massachusetts",11,7,13,7,9,12,9,9,2,6,7,3,6,11,10,9,11,7,2,NA,"0"
"17","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2012,"25023","Massachusetts",13,7,12,7,10,13,4,10,4,6,8,2,9,8,7,10,13,6,3,NA,"0"
"18","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2012,"25023","Massachusetts",13,7,12,7,10,13,4,10,4,6,8,2,9,8,7,10,13,6,3,NA,"0"
"19","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2012,"25023","Massachusetts",13,7,12,7,10,13,4,10,4,6,8,2,9,8,7,10,13,6,3,NA,"0"
"20","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2012,"25023","Massachusetts",13,7,12,7,10,13,4,10,4,6,8,2,9,8,7,10,13,6,3,NA,"0"
"21","Abington","Town","Plymouth","Open town meeting","15985.0",1712,NA,2012,"25023","Massachusetts",13,7,12,7,10,13,4,10,4,6,8,2,9,8,7,10,13,6,3,NA,"0"
