"","NoT21Towns","lon","lat"
"1","Abington , Massachusetts",-70.9453218,42.1048228
"2","Acushnet , Massachusetts",-70.8952337,41.7223696
"3","Agawam , Massachusetts",-72.6148117,42.0695391
"4","Alford , Massachusetts",-73.4134456,42.2356442
"5","Amesbury , Massachusetts",-70.9300376,42.8583925
"6","Aquinnah , Massachusetts",-70.8007864,41.3352369
"7","Ashburnham , Massachusetts",-71.9097394,42.635545
"8","Ashby , Massachusetts",-71.8187139,42.6772767
"9","Ashfield , Massachusetts",-72.788426,42.5264745
"10","Athol , Massachusetts",-72.2267383,42.5959329
"11","Auburn , Massachusetts",-71.8356271,42.1945385
"12","Avon , Massachusetts",-71.0411582,42.1306554
"13","Ayer , Massachusetts",-71.5899054,42.5611947
"14","Barnstable , Massachusetts",-70.3002024,41.7003208
"15","Barre , Massachusetts",-72.1051002,42.4229047
"16","Becket , Massachusetts",-73.0829366,42.3319904
"17","Bedford , Massachusetts",-71.2760089,42.4906231
"18","Bellingham , Massachusetts",-71.4745881,42.0867608
"19","Berkley , Massachusetts",-71.0828222,41.8459347
"20","Berlin , Massachusetts",-71.6370121,42.3812039
"21","Bernardston , Massachusetts",-72.5483277,42.6710048
"22","Beverly , Massachusetts",-70.880049,42.5584283
"23","Billerica , Massachusetts",-71.2689461,42.5584218
"24","Blandford , Massachusetts",-72.9273224,42.1806463
"25","Bolton , Massachusetts",-71.6078449,42.4334258
"26","Bourne , Massachusetts",-70.5989325,41.7412773
"27","Boxborough , Massachusetts",-71.5167139,42.4834197
"28","Boxford , Massachusetts",-70.996726,42.6611604
"29","Boylston , Massachusetts",-71.6908142,42.3889953
"30","Brookfield , Massachusetts",-72.1022991,42.2139817
"31","Burlington , Massachusetts",-71.1956205,42.5047161
"32","Carlisle , Massachusetts",-71.3495046,42.5292597
"33","Charlton , Massachusetts",-71.970074,42.13565
"34","Chatham , Massachusetts",-69.9597664,41.6820897
"35","Cheshire , Massachusetts",-73.162881,42.5620278
"36","Chester , Massachusetts",-72.978712,42.2792551
"37","Chesterfield , Massachusetts",-72.8398172,42.3917541
"38","Chicopee , Massachusetts",-72.6078672,42.1487043
"39","Chilmark , Massachusetts",-70.7447501,41.3431688
"40","Clarksburg , Massachusetts",-73.092685,42.7170314
"41","Clinton , Massachusetts",-71.6829081,42.4167635
"42","Colrain , Massachusetts",-72.6967587,42.6731396
"43","Conway , Massachusetts",-72.6995349,42.5098085
"44","Cummington , Massachusetts",-72.8913714,42.459188
"45","Dalton , Massachusetts",-73.1662138,42.4736959
"46","Dartmouth , Massachusetts",-70.9704787,41.6130323
"47","Dennis , Massachusetts",-70.1939429,41.7353062
"48","Dighton , Massachusetts",-71.1567344,41.843859
"49","Douglas , Massachusetts",-71.739379,42.0543449
"50","Dracut , Massachusetts",-71.3020052,42.6703687
"51","Dudley , Massachusetts",-71.9276033,42.0433661
"52","Dunstable , Massachusetts",-71.4828433,42.6750898
"53","East Bridgewater , Massachusetts",-70.9592096,42.0334341
"54","East Brookfield , Massachusetts",-72.046446,42.2266927
"55","East Longmeadow , Massachusetts",-72.5125863,42.0645396
"56","Easthampton , Massachusetts",-72.66898,42.266757
