"","Nearby T21 Ratio","T21"
"Acton",0.456,1
"Adams",0.312,1
"Amherst",0.228,1
"Andover",0.536,1
"Arlington",0.481,1
"Ashland",0.443,1
"Attleboro",0.49,1
"Belchertown",0.242,1
"Belmont",0.472,1
"Blackstone",0.453,1
"Boston",0.5,1
"Braintree",0.505,1
"Brewster",0.388,1
"Bridgewater",0.534,1
"Brimfield",0.315,1
"Brockton",0.517,1
"Brookline",0.483,1
"Buckland",0.25,1
"Cambridge",0.49,1
"Canton",0.479,1
"Carver",0.557,1
"Charlemont",0.265,1
"Chelmsford",0.485,1
"Chelsea",0.51,1
"Cohasset",0.536,1
"Concord",0.46,1
"Danvers",0.576,1
"Dedham",0.466,1
"Deerfield",0.224,1
"Dover",0.452,1
"Duxbury",0.569,1
"Eastham",0.459,1
"Easton",0.507,1
"Egremont",0.32,1
"Essex",0.604,1
"Falmouth",0.403,1
"Foxborough",0.486,1
"Framingham",0.445,1
"Franklin",0.463,1
"Gill",0.219,1
"Gloucester",0.64,1
"Grafton",0.445,1
"Great Barrington",0.341,1
"Greenfield",0.23,1
"Hadley",0.227,1
"Hamilton",0.591,1
"Hanover",0.544,1
"Halifax",0.558,1
"Hatfield",0.227,1
"Holbrook",0.502,1
"Holyoke",0.229,1
"Hopedale",0.447,1
"Hudson",0.435,1
"Hull",0.52,1
"Kingston",0.566,1
"Lanesborough",0.319,1
"Lawrence",0.538,1
"Lee",0.319,1
"Lenox",0.326,1
"Leverett",0.228,1
"Lexington",0.469,1
"Lincoln",0.459,1
"Lowell",0.495,1
"Malden",0.502,1
"Mansfield",0.493,1
"Marblehead",0.565,1
"Marion",0.485,1
"Marlborough",0.431,1
"Marshfield",0.576,1
"Mashpee",0.397,1
"Maynard",0.444,1
"Medfield",0.456,1
"Medford",0.495,1
"Medway",0.455,1
"Melrose",0.513,1
"Mendon",0.448,1
"Methuen",0.536,1
"Middleton",0.553,1
"Millis",0.455,1
"Milford",0.444,1
"Milton",0.49,1
"Montague",0.224,1
"Natick",0.455,1
"Needham",0.462,1
"Newton",0.47,1
"Norfolk",0.464,1
"North Adams",0.326,1
"North Andover",0.544,1
"North Attleboro",0.477,1
"North Reading",0.532,1
"Northampton",0.224,1
"Northborough",0.446,1
"Norwell",0.552,1
"Norwood",0.462,1
"Orleans",0.432,1
"Peabody",0.556,1
"Pittsfield",0.319,1
"Plainville",0.473,1
"Provincetown",0.458,1
"Reading",0.521,1
"Randolph",0.5,1
"Rockport",0.629,1
"Salem",0.565,1
"Saugus",0.521,1
"Scituate",0.569,1
"Sharon",0.488,1
"Shelburne",0.231,1
"Sherborn",0.45,1
"Somerville",0.493,1
"South Hadley",0.224,1
"Southampton",0.239,1
"Southborough",0.437,1
"Southwick",0.242,1
"Stockbridge",0.337,1
"Stoneham",0.51,1
"Stoughton",0.498,1
"Sunderland",0.233,1
"Swampscott",0.549,1
"Tewksbury",0.513,1
"Topsfield",0.569,1
"Townsend",0.452,1
"Tyngsborough",0.487,1
"Wakefield",0.521,1
"Walpole",0.468,1
"Waltham",0.461,1
"Wareham",0.517,1
"Watertown",0.472,1
"Wayland",0.455,1
"Wellesley",0.457,1
"Westfield",0.242,1
"Westford",0.461,1
"Weston",0.457,1
"Westwood",0.457,1
"Whately",0.219,1
"Whitman",0.53,1
"Williamstown",0.329,1
"Wilmington",0.505,1
"Winchester",0.493,1
"Worcester",0.446,1
"Yarmouth",0.344,1
"Abington",0.52,0
"Acushnet",0.528,0
"Agawam",0.23,0
"Alford",0.338,0
"Amesbury",0.586,0
"Aquinnah",0.245,0
"Ashburnham",0.435,0
"Ashby",0.438,0
"Ashfield",0.244,0
"Athol",0.263,0
"Auburn",0.441,0
"Avon",0.502,0
"Ayer",0.46,0
"Barnstable",0.338,0
"Barre",0.351,0
"Becket",0.292,0
"Bedford",0.467,0
"Bellingham",0.461,0
"Berkley",0.537,0
"Berlin",0.45,0
"Bernardston",0.226,0
"Beverly",0.576,0
"Billerica",0.49,0
"Blandford",0.265,0
"Bolton",0.441,0
"Bourne",0.474,0
"Boxborough",0.445,0
"Boxford",0.569,0
"Boylston",0.461,0
"Brookfield",0.375,0
"Burlington",0.488,0
"Carlisle",0.467,0
"Charlton",0.415,0
"Chatham",0.382,0
"Cheshire",0.316,0
"Chester",0.27,0
"Chesterfield",0.244,0
"Chicopee",0.232,0
"Chilmark",0.224,0
"Clarksburg",0.33,0
"Clinton",0.455,0
"Colrain",0.242,0
"Conway",0.235,0
"Cummington",0.256,0
"Dalton",0.309,0
"Dartmouth",0.495,0
"Dennis",0.356,0
"Dighton",0.521,0
"Douglas",0.414,0
"Dracut",0.495,0
"Dudley",0.408,0
"Dunstable",0.464,0
"East Bridgewater",0.536,0
"East Brookfield",0.394,0
"East Longmeadow",0.22,0
"Easthampton",0.23,0
"Edgartown",0.28,0
"Erving",0.232,0
"Everett",0.502,0
"Fairhaven",0.5,0
"Fall River",0.516,0
"Fitchburg",0.464,0
"Florida",0.291,0
"Freetown",0.551,0
"Gardner",0.411,0
"Georgetown",0.565,0
"Goshen",0.24,0
"Gosnold",0.358,0
"Granby",0.219,0
"Granville",0.272,0
"Groton",0.466,0
"Groveland",0.568,0
"Hampden",0.234,0
"Hancock",0.337,0
"Hanson",0.55,0
"Hardwick",0.303,0
"Harvard",0.455,0
"Harwich",0.341,0
"Haverhill",0.569,0
"Hawley",0.265,0
"Heath",0.259,0
"Hingham",0.515,0
"Hinsdale",0.297,0
"Holden",0.454,0
"Holland",0.331,0
"Holliston",0.447,0
"Hopkinton",0.441,0
"Hubbardston",0.429,0
"Huntington",0.254,0
"Ipswich",0.605,0
"Lakeville",0.555,0
"Lancaster",0.454,0
"Leicester",0.439,0
"Leominster",0.466,0
"Leyden",0.238,0
"Littleton",0.451,0
"Longmeadow",0.231,0
"Ludlow",0.237,0
"Lunenburg",0.46,0
"Lynn",0.54,0
"Lynnfield",0.524,0
"Manchester-by-the-Sea",0.603,0
"Mattapoisett",0.495,0
"Merrimac",0.575,0
"Middleborough",0.56,0
"Middlefield",0.277,0
"Millbury",0.446,0
"Millville",0.448,0
"Monroe",0.306,0
"Monson",0.23,0
"Monterey",0.326,0
"Montgomery",0.242,0
"Mount Washington",0.304,0
"Nahant",0.534,0
"Nantucket",0.308,0
"New Ashford",0.333,0
"New Bedford",0.515,0
"New Braintree",0.351,0
"New Marlborough",0.33,0
"New Salem",0.259,0
"Newbury",0.59,0
"Newburyport",0.593,0
"North Brookfield",0.378,0
"Northbridge",0.446,0
"Northfield",0.223,0
"Norton",0.487,0
"Oak Bluffs",0.295,0
"Oakham",0.405,0
"Orange",0.244,0
"Otis",0.301,0
"Oxford",0.433,0
"Palmer",0.239,0
"Paxton",0.453,0
"Pelham",0.244,0
"Pembroke",0.564,0
"Pepperell",0.454,0
"Peru",0.284,0
"Petersham",0.311,0
"Phillipston",0.318,0
"Plainfield",0.265,0
"Plymouth",0.583,0
"Plympton",0.573,0
"Princeton",0.456,0
"Quincy",0.502,0
"Raynham",0.521,0
"Rehoboth",0.488,0
"Revere",0.513,0
"Richmond",0.337,0
"Rochester",0.54,0
"Rockland",0.52,0
"Rowe",0.28,0
"Rowley",0.583,0
"Royalston",0.263,0
"Russell",0.25,0
"Rutland",0.448,0
"Salisbury",0.607,0
"Sandisfield",0.323,0
"Sandwich",0.443,0
"Savoy",0.28,0
"Seekonk",0.479,0
"Sheffield",0.316,0
"Shirley",0.458,0
"Shrewsbury",0.453,0
"Shutesbury",0.227,0
"Somerset",0.541,0
"Southbridge",0.385,0
"Spencer",0.422,0
"Springfield",0.229,0
"Sterling",0.458,0
"Stow",0.444,0
"Sturbridge",0.371,0
"Sudbury",0.449,0
"Sutton",0.434,0
"Swansea",0.525,0
"Taunton",0.517,0
"Templeton",0.366,0
"Tisbury",0.312,0
"Tolland",0.295,0
"Truro",0.438,0
"Tyringham",0.316,0
"Upton",0.446,0
"Uxbridge",0.433,0
"Wales",0.287,0
"Ware",0.289,0
"Warren",0.309,0
"Warwick",0.248,0
"Washington",0.294,0
"Webster",0.417,0
"Wellfleet",0.444,0
"Wendell",0.231,0
"Wenham",0.576,0
"West Boylston",0.452,0
"West Bridgewater",0.523,0
"West Brookfield",0.354,0
"West Newbury",0.575,0
"West Springfield",0.234,0
"West Stockbridge",0.345,0
"West Tisbury",0.259,0
"Westborough",0.437,0
"Westhampton",0.235,0
"Westminster",0.436,0
"Westport",0.479,0
"Weymouth",0.515,0
"Wilbraham",0.248,0
"Williamsburg",0.237,0
"Winchendon",0.354,0
"Windsor",0.283,0
"Winthrop",0.518,0
"Woburn",0.495,0
"Worthington",0.265,0
"Wrentham",0.468,0
