"","Nearby T21 Ratio"
"Acton",0.445
"Adams",0.271
"Amherst",0.208
"Andover",0.53
"Arlington",0.471
"Ashland",0.432
"Attleboro",0.482
"Belchertown",0.231
"Belmont",0.465
"Blackstone",0.446
"Boston",0.49
"Braintree",0.495
"Brewster",0.38
"Bridgewater",0.526
"Brimfield",0.29
"Brockton",0.502
"Brookline",0.474
"Buckland",0.216
"Cambridge",0.483
"Canton",0.468
"Carver",0.547
"Charlemont",0.233
"Chelmsford",0.466
"Chelsea",0.503
"Cohasset",0.523
"Concord",0.452
"Danvers",0.56
"Dedham",0.455
"Deerfield",0.208
"Dover",0.441
"Duxbury",0.562
"Eastham",0.421
"Easton",0.495
"Egremont",0.289
"Essex",0.597
"Falmouth",0.385
"Foxborough",0.474
"Framingham",0.438
"Franklin",0.452
"Gill",0.193
"Gloucester",0.635
"Grafton",0.437
"Great Barrington",0.301
"Greenfield",0.2
"Hadley",0.199
"Hamilton",0.58
"Hanover",0.538
"Halifax",0.55
"Hatfield",0.205
"Holbrook",0.493
"Holyoke",0.2
"Hopedale",0.435
"Hudson",0.42
"Hull",0.51
"Kingston",0.56
"Lanesborough",0.29
"Lawrence",0.532
"Lee",0.277
"Lenox",0.283
"Leverett",0.201
"Lexington",0.462
"Lincoln",0.452
"Lowell",0.482
"Malden",0.495
"Mansfield",0.485
"Marblehead",0.557
"Marion",0.491
"Marlborough",0.423
"Marshfield",0.562
"Mashpee",0.385
"Maynard",0.434
"Medfield",0.447
"Medford",0.481
"Medway",0.448
"Melrose",0.497
"Mendon",0.437
"Methuen",0.524
"Middleton",0.545
"Millis",0.444
"Milford",0.434
"Milton",0.483
"Montague",0.197
"Natick",0.444
"Needham",0.444
"Newton",0.463
"Norfolk",0.455
"North Adams",0.283
"North Andover",0.538
"North Attleboro",0.465
"North Reading",0.522
"Northampton",0.2
"Northborough",0.432
"Norwell",0.533
"Norwood",0.455
"Orleans",0.381
"Peabody",0.544
"Pittsfield",0.28
"Plainville",0.466
"Provincetown",0.459
"Reading",0.503
"Randolph",0.49
"Rockport",0.621
"Salem",0.553
"Saugus",0.508
"Scituate",0.559
"Sharon",0.472
"Shelburne",0.203
"Sherborn",0.439
"Somerville",0.483
"South Hadley",0.199
"Southampton",0.207
"Southborough",0.424
"Southwick",0.21
"Stockbridge",0.295
"Stoneham",0.495
"Stoughton",0.488
"Sunderland",0.207
"Swampscott",0.538
"Tewksbury",0.497
"Topsfield",0.563
"Townsend",0.443
"Tyngsborough",0.474
"Wakefield",0.51
"Walpole",0.459
"Waltham",0.454
"Wareham",0.521
"Watertown",0.463
"Wayland",0.446
"Wellesley",0.451
"Westfield",0.215
"Westford",0.454
"Weston",0.446
"Westwood",0.448
"Whately",0.199
"Whitman",0.517
"Williamstown",0.298
"Wilmington",0.487
"Winchester",0.48
"Worcester",0.434
"Yarmouth",0.328
"Abington",0.517
"Acushnet",0.528
"Agawam",0.207
"Alford",0.325
"Amesbury",0.598
"Aquinnah",0.245
"Ashburnham",0.424
"Ashby",0.434
"Ashfield",0.219
"Athol",0.256
"Auburn",0.426
"Avon",0.493
"Ayer",0.449
"Barnstable",0.348
"Barre",0.347
"Becket",0.267
"Bedford",0.467
"Bellingham",0.454
"Berkley",0.53
"Berlin",0.44
"Bernardston",0.201
"Beverly",0.576
"Billerica",0.478
"Blandford",0.241
"Bolton",0.439
"Bourne",0.485
"Boxborough",0.439
"Boxford",0.571
"Boylston",0.448
"Brookfield",0.362
"Burlington",0.485
"Carlisle",0.462
"Charlton",0.407
"Chatham",0.382
"Cheshire",0.287
"Chester",0.246
"Chesterfield",0.222
"Chicopee",0.211
"Chilmark",0.245
"Clarksburg",0.293
"Clinton",0.448
"Colrain",0.216
"Conway",0.215
"Cummington",0.233
"Dalton",0.278
"Dartmouth",0.495
"Dennis",0.356
"Dighton",0.512
"Douglas",0.408
"Dracut",0.495
"Dudley",0.397
"Dunstable",0.456
"East Bridgewater",0.525
"East Brookfield",0.39
"East Longmeadow",0.208
"Easthampton",0.206
"Edgartown",0.294
"Erving",0.229
"Everett",0.498
"Fairhaven",0.505
"Fall River",0.515
"Fitchburg",0.446
"Florida",0.262
"Freetown",0.543
"Gardner",0.402
"Georgetown",0.574
"Goshen",0.219
"Gosnold",0.362
"Granby",0.21
"Granville",0.246
"Groton",0.452
"Groveland",0.571
"Hampden",0.228
"Hancock",0.318
"Hanson",0.546
"Hardwick",0.296
"Harvard",0.445
"Harwich",0.357
"Haverhill",0.561
"Hawley",0.246
"Heath",0.241
"Hingham",0.515
"Hinsdale",0.27
"Holden",0.438
"Holland",0.319
"Holliston",0.445
"Hopkinton",0.428
"Hubbardston",0.416
"Huntington",0.23
"Ipswich",0.596
"Lakeville",0.551
"Lancaster",0.443
"Leicester",0.426
"Leominster",0.45
"Leyden",0.214
"Littleton",0.442
"Longmeadow",0.209
"Ludlow",0.23
"Lunenburg",0.449
"Lynn",0.529
"Lynnfield",0.521
"Manchester-by-the-Sea",0.599
"Mattapoisett",0.5
"Merrimac",0.585
"Middleborough",0.551
"Middlefield",0.25
"Millbury",0.443
"Millville",0.441
"Monroe",0.278
"Monson",0.239
"Monterey",0.297
"Montgomery",0.219
"Mount Washington",0.29
"Nahant",0.529
"Nantucket",0.308
"New Ashford",0.3
"New Bedford",0.51
"New Braintree",0.34
"New Marlborough",0.299
"New Salem",0.25
"Newbury",0.593
"Newburyport",0.597
"North Brookfield",0.366
"Northbridge",0.435
"Northfield",0.204
"Norton",0.487
"Oak Bluffs",0.311
"Oakham",0.391
"Orange",0.23
"Otis",0.275
"Oxford",0.426
"Palmer",0.23
"Paxton",0.441
"Pelham",0.226
"Pembroke",0.553
"Pepperell",0.457
"Peru",0.259
"Petersham",0.306
"Phillipston",0.324
"Plainfield",0.239
"Plymouth",0.581
"Plympton",0.564
"Princeton",0.447
"Quincy",0.5
"Raynham",0.519
"Rehoboth",0.483
"Revere",0.51
"Richmond",0.314
"Rochester",0.542
"Rockland",0.517
"Rowe",0.25
"Rowley",0.59
"Royalston",0.256
"Russell",0.228
"Rutland",0.434
"Salisbury",0.607
"Sandisfield",0.292
"Sandwich",0.438
"Savoy",0.255
"Seekonk",0.471
"Sheffield",0.304
"Shirley",0.445
"Shrewsbury",0.44
"Shutesbury",0.217
"Somerset",0.534
"Southbridge",0.371
"Spencer",0.411
"Springfield",0.207
"Sterling",0.437
"Stow",0.433
"Sturbridge",0.363
"Sudbury",0.446
"Sutton",0.437
"Swansea",0.531
"Taunton",0.511
"Templeton",0.371
"Tisbury",0.328
"Tolland",0.269
"Truro",0.447
"Tyringham",0.284
"Upton",0.436
"Uxbridge",0.434
"Wales",0.277
"Ware",0.278
"Warren",0.305
"Warwick",0.233
"Washington",0.275
"Webster",0.41
"Wellfleet",0.444
"Wendell",0.217
"Wenham",0.571
"West Boylston",0.441
"West Bridgewater",0.52
