"","TownName","ratio","year"
"1",NA,0,2010
"2","plainville",0,2010
"3",NA,0,2010
"4",NA,0,2010
"5","scituate",0,2010
"6",NA,0,2010
"7",NA,0,2010
"8",NA,0,2010
"9",NA,0,2010
"10","northborough",0,2010
"11",NA,0,2010
"12",NA,0,2010
"13","wareham",0,2010
"14",NA,0,2010
"15",NA,0,2010
"16",NA,0,2010
"17",NA,0,2010
"18","westford",0,2010
"19","whitman",0,2010
"20",NA,0,2010
"21","yarmouth",0,2010
"22",NA,0,2010
"23","winchester",0,2010
"24",NA,0,2010
"25",NA,0,2010
"26",NA,0,2010
"27",NA,0,2010
"28","adams",0,2010
"29",NA,0,2010
"30","amherst",0,2010
"31",NA,0,2010
"32",NA,0,2010
"33",NA,0,2010
"34",NA,0,2010
"35",NA,0,2010
"36","belchertown",0,2010
"37",NA,0,2010
"38",NA,0,2010
"39",NA,0,2010
"40",NA,0,2010
"41",NA,0,2010
"42",NA,0,2010
"43","brockton",0,2010
"44",NA,0,2010
"45",NA,0,2010
"46",NA,0,2010
"47",NA,0,2010
"48",NA,0,2010
"49",NA,0,2010
"50",NA,0,2010
"51",NA,0,2010
"52",NA,0,2010
"53","acton",0,2010
"54","attleboro",0,2010
"55",NA,0,2010
"56","blackstone",0,2010
"57","boston",0,2010
"58",NA,0,2010
"59",NA,0,2010
"60",NA,0,2010
"61","duxbury",0,2010
"62","eastham",0,2010
"63","essex",0,2010
"64",NA,0,2010
"65",NA,0,2010
"66",NA,0,2010
"67",NA,0,2010
"68","great barrington",0,2010
"69",NA,0,2010
"70",NA,0,2010
"71",NA,0,2010
"72","leverett",0,2010
"73","mansfield",0,2010
"74","mashpee",0,2010
"75",NA,0,2010
"76",NA,0,2010
"77",NA,0,2010
"78","grafton",0,2010
"79",NA,0,2010
"80",NA,0,2010
"81","gloucester",0,2010
"82",NA,0,2010
"83",NA,0,2010
"84","marion",0,2010
"85","mendon",0,2010
"86",NA,0,2010
"87","townsend",0,2010
"88",NA,0,2010
"89",NA,0,2010
"90",NA,0,2010
"91","orleans",0,2010
"92","dedham",0,2010
"93",NA,0,2010
"94",NA,0,2010
"95","deerfield",0,2010
"96",NA,0,2010
"97",NA,0,2010
"98","brookline",0,2010
"99","hadley",0,2010
"100","bridgewater",0,2010
"101","brimfield",0,2010
"102",NA,0,2010
"103",NA,0,2010
"104",NA,0,2010
"105",NA,0,2010
"106","easton",0,2010
"107",NA,0,2010
"108","egremont",0,2010
"109","falmouth",0,2010
"110","franklin",0,2010
"111","foxborough",0,2010
"112",NA,0,2010
"113","framingham",0,2010
"114",NA,0,2010
"115",NA,0,2010
"116",NA,0,2010
"117",NA,0,2010
"118","andover",0,2010
"119","arlington",0,2010
"120","ashland",0,2010
"121",NA,0,2010
"122",NA,0,2010
"123","belmont",0,2010
"124",NA,0,2010
"125",NA,0,2010
"126",NA,0,2010
"127","danvers",0,2010
"128",NA,0,2010
"129","kingston",0,2010
"130","lanesborough",0,2010
"131",NA,0,2010
"132",NA,0,2010
"133",NA,0,2010
"134",NA,0,2010
"135","marlborough",0,2010
"136","marshfield",0,2010
"137","maynard",0,2010
"138","melrose",0,2010
"139",NA,0,2010
"140",NA,0,2010
"141","montague",0,2010
"142",NA,0,2010
"143",NA,0,2010
"144","buckland",0,2010
"145","cambridge",0,2010
"146","canton",0,2010
"147",NA,0,2010
"148","cohasset",0,2010
"149","concord",0,2010
"150","dover",0,2010
"151",NA,0,2010
"152",NA,0,2010
"153",NA,0,2010
"154","braintree",0,2010
"155","brewster",0,2010
"156",NA,0,2010
"157",NA,0,2010
"158",NA,0,2010
"159","chelmsford",0,2010
"160","chelsea",0,2010
"161",NA,0,2010
"162",NA,0,2010
"163",NA,0,2010
"164",NA,0,2010
"165","hatfield",0,2010
"166","carver",0,2010
"167","charlemont",0,2010
"168",NA,0,2010
"169",NA,0,2010
"170",NA,0,2010
"171",NA,0,2010
"172","holbrook",0,2010
"173","hudson",0,2010
"174","holyoke",0,2010
"175","hopedale",0,2010
"176",NA,0,2010
"177","milton",0,2010
"178","medway",0,2010
"179","lenox",0,2010
"180",NA,0,2010
"181","lexington",0,2010
"182",NA,0,2010
"183","lincoln",0,2010
"184","methuen",0,2010
"185",NA,0,2010
"186",NA,0,2010
"187",NA,0,2010
"188",NA,0,2010
"189","natick",0,2010
"190",NA,0,2010
"191",NA,0,2010
"192",NA,0,2010
"193",NA,0,2010
"194","gill",0,2010
"195",NA,0,2010
"196","greenfield",0,2010
"197",NA,0,2010
"198",NA,0,2010
"199",NA,0,2010
"200",NA,0,2010
"201",NA,0,2010
"202",NA,0,2010
"203","lee",0,2010
"204","hanover",0,2010
"205",NA,0,2010
"206","medfield",0,2010
"207","medford",0,2010
"208","reading",0,2010
"209",NA,0,2010
"210","needham",0,2010
"211",NA,0,2010
"212","lowell",0,2010
