"","TownName","ratio","year"
"1","petersham",0,2010
"2","plainville",0,2010
"3","quincy",0,2010
"4","rockland",0,2010
"5","scituate",0,2010
"6","spencer",0,2010
"7","tyringham",0,2010
"8","otis",0,2010
"9","sheffield",0,2010
"10","northborough",0,2010
"11","westhampton",0,2010
"12","ware",0,2010
"13","wareham",0,2010
"14","washington",0,2010
"15","wenham",0,2010
"16","west boylston",0,2010
"17","west bridgewater",0,2010
"18","westford",0,2010
"19","whitman",0,2010
"20","williamsburg",0,2010
"21","yarmouth",0,2010
"22","west brookfield",0,2010
"23","winchester",0,2010
"24","beverly",0,2010
"25","billerica",0,2010
"26","boxford",0,2010
"27","boylston",0,2010
"28","adams",0,2010
"29","alford",0,2010
"30","amherst",0,2010
"31","ashburnham",0,2010
"32","ashby",0,2010
"33","auburn",0,2010
"34","avon",0,2010
"35","barre",0,2010
"36","belchertown",0,2010
"37","berlin",0,2010
"38","bernardston",0,2010
"39","blandford",0,2010
"40","bolton",0,2010
"41","bourne",0,2010
"42","boxborough",0,2010
"43","brockton",0,2010
"44","burlington",0,2010
"45","chatham",0,2010
"46","cheshire",0,2010
"47","chester",0,2010
"48","clarksburg",0,2010
"49","dartmouth",0,2010
"50","dennis",0,2010
"51","douglas",0,2010
"52","ashfield",0,2010
"53","acton",0,2010
"54","attleboro",0,2010
"55","barnstable",0,2010
"56","blackstone",0,2010
"57","boston",0,2010
"58","charlton",0,2010
"59","clinton",0,2010
"60","cummington",0,2010
"61","duxbury",0,2010
"62","eastham",0,2010
"63","essex",0,2010
"64","dunstable",0,2010
"65","everett",0,2010
"66","florida",0,2010
"67","granville",0,2010
"68","great barrington",0,2010
"69","hardwick",0,2010
"70","hubbardston",0,2010
"71","ipswich",0,2010
"72","leverett",0,2010
"73","mansfield",0,2010
"74","mashpee",0,2010
"75","middleborough",0,2010
"76","millville",0,2010
"77","nantucket",0,2010
"78","grafton",0,2010
"79","hawley",0,2010
"80","fitchburg",0,2010
"81","gloucester",0,2010
"82","gosnold",0,2010
"83","sutton",0,2010
