"","X","Year","Name.x","Event","Type","County","Form.of.government","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","Years.of.Potential.Life.Lost.Rate","Percent_FairOrPoor","Physically.Unhealthy.Days","Mentally.Unhealthy.Days","Precent.LBW","PercentSmokers","PercentObese","Food.Environment.Index","Percent.Physically.Inactive","Percent.With.AccessToExercise","PercentExcessive.Drinking","NumberChlamydia.Cases","Chlamydia.Rate","Teen.Births","Teen.Birth.Rate","PercentUninsured","NumberMedicare.Enrollees","PercentDiabetics","PercentReceiving.HbA1c","PercentUnemployed","PercentChildren.in.Poverty","PercentSingle.Parent.Households","NumberViolent.Crimes","Violent.Crime.Rate","T21year","MAYOR","LENGTH.OF.TERM","NEXT.ELECTION","mayor_ind","year_dummy","year_dummy-1","county_state_abb","Name.y","state_abb","pop16","pop16_labor_civil_empl","pop16_labor_civil_unempl","pop16_labor_civil","median_household_income","mean_household_income","pop_total_2015","male_2015","female_2015","white_male_2015","white_female_2015","black_male_2015","black_female_2015","hispanic_male_2015","hispanic_female_2015","educ_no_high_school_2000","votes_total_2012","votes_r_2012","votes_d_2012","prct_d_2012","prct_r_2012","votes_total_2016","prct_d_2016","prct_r_2016","votes_d_2016","votes_r_2016","tax"
"2",7,2011,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4693,5872.2,10.6,3.1,3.6,7.76,20.9,22.1,NA,NA,NA,20.7,NA,NA,2194,18.9,8.3,100457,1769,86.32,8.8,8.3,24.1,6299,427.6,NA,NA,NA,NA,0,2011,2010,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"3",8,2012,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4692,5675.99,10.2,3,3.6,7.8,19.9,23.1,NA,21,NA,21.1,1160,235.7,2213,19.5,4.4,53185,5117,86.456908345,9.1,10.9,24.728756039,6280,434.73023881,NA,NA,NA,NA,0,2012,2011,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"4",9,2013,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4854,5721.45,11,3.2,3.8,7.7,19.1,23.1,NA,21,NA,20.8,1414,285.7,2102,17.698071904,4.7,54940,5350,88.448598131,7.8,10.8,24.961102093,2179,443.299018,NA,NA,NA,NA,0,2013,2012,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,2.51
"5",10,2014,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4854,5721.45,11,3.1,3.6,7.7,17.8,24.7,8.7645680153,23.1,80.249697425,21.1,1398,281,2017,16.970257877,4.2883817477,58071,5871,88.62204054,6.9141127507,10.7,25.479554282,2161.3333333,447.83954028,NA,NA,NA,NA,0,2014,2013,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"6",11,2015,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4881,5465.93,11,3.1,3.6,7.4893572292,17.8,25.8,8.6,23.9,87.434307432,21.1,1502,300.5,1935,16.304485208,3.8936488901,61488,6281,89.87422385,7.1697401667,11.2,25.177076626,2023.6666667,431.83009609,NA,NA,NA,NA,0,2015,2014,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"7",12,2016,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",4926,5551.6,13.3,3.3,4.2,7.3034462381,17.2,26.4,8.3,24.7,85.824549068,20.5,1490,298.14370527,1794,15.186401652,4.0607678789,64212,6734,90.406890407,6.0337647721,11.5,26.407406765,2023.6666667,431.83009609,NA,NA,NA,NA,0,2016,2015,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"8",13,2017,"Abington",0,"Town","Plymouth","Open town meeting","15985.0",1712,NA,25023,"Massachusetts",5179,5736.3,12.932690816,3.2979653377,4.157563458,7.2241992883,16.179049691,27.8,8.3,22.9,85.824549068,22.659203492,1176,234.3,1613,13.689097097,3.3779891904,66023,6928,91.021939954,5.2292076211,12.4,27.678274419,1854.3333333,404.35479135,NA,NA,NA,NA,0,2017,2016,"Plymouth, MA","plymouth","MA",399566,248411,24013,272424,75816,96541,510393,248480,261913,213559,225147,25675,26697,9822,9461,12.4,256531,121086,131845,51.4,47.2,271177,49.9721584057645,42.5437998060307,135513,115369,3.51
"10",21,2011,"Acton",0,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",11206,4524.4,9.7,2.8,2.8,7.32,13.4,22.1,NA,NA,NA,18,NA,NA,4133,12.6,9.9,264855,4000,87.15,7.1,8.3,20.8,11031,249.1,2015,NA,NA,NA,0,2011,2010,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,2.51
"11",22,2012,"Acton",0,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",10885,4320.15,9.5,2.7,2.7,7.4,12.5,23.1,NA,21.1,NA,17.6,2562,172.8,4157,13,4.6,133633,10819,87.170718181,7,8.5,21.023875057,11724,263.87623475,2015,NA,NA,NA,0,2012,2011,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,2.51
"12",23,2013,"Acton",0,"Town","Middlesex","Open town meeting","21924.0",1735,"2015-01-01",25017,"Massachusetts",10899,4330.73,9.2,2.7,2.6,7.5,12.1,23.1,NA,21.1,NA,18,2778,184.8,4086,12.180943352,4.5,135688,11042,89.14145988,5.9,9.3,20.926310082,4242,284.102451,2015,NA,NA,NA,0,2013,2012,"Middlesex, MA","middlesex","MA",1256349,817053,59845,876898,83488,112455,1585139,773776,811363,620894,651994,43583,45018,62002,60987,11.5,754170,267321,471804,62.56,35.45,796735,65.311552774762,27.5867132735477,520360,219793,2.51
