"","year","TownName","Event","Sub"
"1",2005,"Needham",1,1
"2",2006,"Needham",0,1
"3",2007,"Needham",0,1
"4",2008,"Needham",0,1
"5",2009,"Needham",0,1
"6",2010,"Needham",0,1
"7",2011,"Needham",0,1
"8",2012,"Needham",0,1
"9",2013,"Needham",0,1
"10",2013,"Sharon",1,1
"11",2014,"Braintree",1,1
"12",2014,"Brimfield",1,1
"13",2014,"Canton",1,1
"14",2014,"Concord",1,1
"15",2014,"Dedham",1,1
"16",2014,"Dover",1,1
"17",2014,"Foxborough",1,1
"18",2014,"Hudson",1,1
"19",2014,"Medway",1,1
"20",2014,"Melrose",1,1
"21",2014,"Needham",0,1
"22",2014,"Newton",1,1
"23",2014,"Norwood",1,1
"24",2014,"Reading",1,1
"25",2014,"Scituate",1,1
"26",2014,"Sharon",0,1
"27",2014,"Sherborn",1,1
"28",2014,"Stoneham",1,1
"29",2014,"Wakefield",1,1
"30",2014,"Wellesley",1,1
"31",2014,"Westford",1,1
"32",2014,"Westwood",1,1
"33",2014,"Winchester",1,1
"34",2014,"Yarmouth",1,1
"35",2015,"Acton",1,1
"36",2015,"Amherst",1,1
"37",2015,"Andover",1,1
"38",2015,"Arlington",1,1
"39",2015,"Ashland",1,1
"40",2015,"Belmont",1,1
"41",2015,"Boston",1,1
"42",2015,"Braintree",0,1
"43",2015,"Brewster",1,1
"44",2015,"Bridgewater",1,1
"45",2015,"Brimfield",0,1
"46",2015,"Brookline",1,1
"47",2015,"Buckland",1,1
"48",2015,"Cambridge",1,1
"49",2015,"Canton",0,1
"50",2015,"Charlemont",1,1
"51",2015,"Concord",0,1
"52",2015,"Danvers",1,1
"53",2015,"Dedham",0,1
"54",2015,"Dover",0,1
"55",2015,"Duxbury",1,1
"56",2015,"Eastham",1,1
"57",2015,"Foxborough",0,1
"58",2015,"Framingham",1,1
"59",2015,"Gill",1,1
"60",2015,"Greenfield",1,1
"61",2015,"Hatfield",1,1
"62",2015,"Holyoke",1,1
"63",2015,"Hudson",0,1
"64",2015,"Hull",1,1
"65",2015,"Kingston",1,1
"66",2015,"Lawrence",1,1
