"","year","TownName","Event","csum"
"2575",2005,"Needham",1,1
"2576",2006,"Needham",0,1
"2577",2007,"Needham",0,1
"2578",2008,"Needham",0,1
"2579",2009,"Needham",0,1
"2580",2010,"Needham",0,1
"2581",2011,"Needham",0,1
"2582",2012,"Needham",0,1
"2583",2013,"Needham",0,1
"3454",2013,"Sharon",1,1
"530",2014,"Braintree",1,1
"569",2014,"Brimfield",1,1
"660",2014,"Canton",1,1
"881",2014,"Concord",1,1
"959",2014,"Dedham",1,1
"1024",2014,"Dover",1,1
"1297",2014,"Foxborough",1,1
"1830",2014,"Hudson",1,1
"2298",2014,"Medway",1,1
"2311",2014,"Melrose",1,1
"2584",2014,"Needham",0,1
"2688",2014,"Newton",1,1
"2857",2014,"Norwood",1,1
"3195",2014,"Reading",1,1
"3429",2014,"Scituate",1,1
"3455",2014,"Sharon",0,1
"3494",2014,"Sherborn",1,1
"3689",2014,"Stoneham",1,1
"3962",2014,"Wakefield",1,1
"4118",2014,"Wellesley",1,1
"4287",2014,"Westford",1,1
"4352",2014,"Westwood",1,1
"4469",2014,"Winchester",1,1
"4560",2014,"Yarmouth",1,1
"24",2015,"Acton",1,1
"102",2015,"Amherst",1,1
"115",2015,"Andover",1,1
"141",2015,"Arlington",1,1
"193",2015,"Ashland",1,1
"349",2015,"Belmont",1,1
"466",2015,"Boston",1,1
"531",2015,"Braintree",0,1
"544",2015,"Brewster",1,1
"557",2015,"Bridgewater",1,1
"570",2015,"Brimfield",0,1
"609",2015,"Brookline",1,1
"622",2015,"Buckland",1,1
"648",2015,"Cambridge",1,1
"661",2015,"Canton",0,1
"700",2015,"Charlemont",1,1
"882",2015,"Concord",0,1
"934",2015,"Danvers",1,1
"960",2015,"Dedham",0,1
"1025",2015,"Dover",0,1
"1077",2015,"Duxbury",1,1
"1129",2015,"Eastham",1,1
"1298",2015,"Foxborough",0,1
"1311",2015,"Framingham",1,1
"1376",2015,"Gill",1,1
"1480",2015,"Greenfield",1,1
"1649",2015,"Hatfield",1,1
"1779",2015,"Holyoke",1,1
"1831",2015,"Hudson",0,1
"1844",2015,"Hull",1,1
"1883",2015,"Kingston",1,1
"1935",2015,"Lawrence",1,1
"2000",2015,"Leverett",1,1
"2013",2015,"Lexington",1,1
"2039",2015,"Lincoln",1,1
"2143",2015,"Malden",1,1
"2208",2015,"Marlborough",1,1
"2221",2015,"Marshfield",1,1
"2299",2015,"Medway",0,1
"2312",2015,"Melrose",0,1
"2325",2015,"Mendon",1,1
"2351",2015,"Methuen",1,1
"2429",2015,"Millis",1,1
"2455",2015,"Milton",1,1
"2494",2015,"Montague",1,1
"2572",2015,"Natick",1,1
"2585",2015,"Needham",0,1
"2689",2015,"Newton",0,1
"2728",2015,"North Andover",1,1
"2793",2015,"Northborough",1,1
"2858",2015,"Norwood",0,1
"3196",2015,"Reading",0,1
"3352",2015,"Salem",1,1
"3404",2015,"Saugus",1,1
"3430",2015,"Scituate",0,1
"3456",2015,"Sharon",0,1
"3482",2015,"Shelburne",1,1
"3495",2015,"Sherborn",0,1
"3573",2015,"South Hadley",1,1
"3599",2015,"Southborough",1,1
"3690",2015,"Stoneham",0,1
"3963",2015,"Wakefield",0,1
"3989",2015,"Walpole",1,1
"4002",2015,"Waltham",1,1
"4093",2015,"Wayland",1,1
"4119",2015,"Wellesley",0,1
"4288",2015,"Westford",0,1
"4353",2015,"Westwood",0,1
"4431",2015,"Williamstown",1,1
"4444",2015,"Wilmington",1,1
"4470",2015,"Winchester",0,1
"4561",2015,"Yarmouth",0,1
"25",2016,"Acton",0,1
"51",2016,"Adams",1,1
"103",2016,"Amherst",0,1
"116",2016,"Andover",0,1
"142",2016,"Arlington",0,1
"194",2016,"Ashland",0,1
"220",2016,"Attleboro",1,1
"350",2016,"Belmont",0,1
"428",2016,"Blackstone",1,1
"467",2016,"Boston",0,1
"532",2016,"Braintree",0,1
"545",2016,"Brewster",0,1
"558",2016,"Bridgewater",0,1
"571",2016,"Brimfield",0,1
"584",2016,"Brockton",1,1
"610",2016,"Brookline",0,1
"623",2016,"Buckland",0,1
"649",2016,"Cambridge",0,1
"662",2016,"Canton",0,1
"688",2016,"Carver",1,1
"701",2016,"Charlemont",0,1
"740",2016,"Chelmsford",1,1
"753",2016,"Chelsea",1,1
"857",2016,"Cohasset",1,1
"883",2016,"Concord",0,1
"935",2016,"Danvers",0,1
"961",2016,"Dedham",0,1
"1026",2016,"Dover",0,1
"1078",2016,"Duxbury",0,1
"1130",2016,"Eastham",0,1
"1156",2016,"Easton",1,1
"1182",2016,"Egremont",1,1
"1208",2016,"Essex",1,1
"1260",2016,"Falmouth",1,1
"1299",2016,"Foxborough",0,1
"1312",2016,"Framingham",0,1
"1325",2016,"Franklin",1,1
"1377",2016,"Gill",0,1
"1390",2016,"Gloucester",1,1
"1429",2016,"Grafton",1,1
"1468",2016,"Great Barrington",1,1
"1481",2016,"Greenfield",0,1
"1520",2016,"Hadley",1,1
"1533",2016,"Halifax",1,1
"1546",2016,"Hamilton",1,1
"1585",2016,"Hanover",1,1
"1650",2016,"Hatfield",0,1
"1728",2016,"Holbrook",1,1
"1780",2016,"Holyoke",0,1
"1793",2016,"Hopedale",1,1
"1832",2016,"Hudson",0,1
"1845",2016,"Hull",0,1
"1884",2016,"Kingston",0,1
"1936",2016,"Lawrence",0,1
"1949",2016,"Lee",1,1
"1975",2016,"Lenox",1,1
"2001",2016,"Leverett",0,1
"2014",2016,"Lexington",0,1
"2040",2016,"Lincoln",0,1
"2079",2016,"Lowell",1,1
"2144",2016,"Malden",0,1
"2170",2016,"Mansfield",1,1
"2183",2016,"Marblehead",1,1
"2196",2016,"Marion",1,1
"2209",2016,"Marlborough",0,1
"2222",2016,"Marshfield",0,1
"2235",2016,"Mashpee",1,1
"2261",2016,"Maynard",1,1
"2274",2016,"Medfield",1,1
"2287",2016,"Medford",1,1
"2300",2016,"Medway",0,1
"2313",2016,"Melrose",0,1
"2326",2016,"Mendon",0,1
"2352",2016,"Methuen",0,1
"2391",2016,"Middleton",1,1
"2404",2016,"Milford",1,1
"2430",2016,"Millis",0,1
"2456",2016,"Milton",0,1
"2495",2016,"Montague",0,1
"2573",2016,"Natick",0,1
"2586",2016,"Needham",0,1
"2690",2016,"Newton",0,1
"2703",2016,"Norfolk",1,1
"2716",2016,"North Adams",1,1
"2729",2016,"North Andover",0,1
"2742",2016,"North Attleboro",1,1
"2768",2016,"North Reading",1,1
"2781",2016,"Northampton",1,1
"2794",2016,"Northborough",0,1
"2846",2016,"Norwell",1,1
"2859",2016,"Norwood",0,1
"2911",2016,"Orleans",1,1
"2976",2016,"Peabody",1,1
"3067",2016,"Pittsfield",1,1
"3093",2016,"Plainville",1,1
"3145",2016,"Provincetown",1,1
"3171",2016,"Randolph",1,1
"3197",2016,"Reading",0,1
"3275",2016,"Rockport",1,1
"3353",2016,"Salem",0,1
"3405",2016,"Saugus",0,1
"3431",2016,"Scituate",0,1
"3457",2016,"Sharon",0,1
"3483",2016,"Shelburne",0,1
"3496",2016,"Sherborn",0,1
"3561",2016,"Somerville",1,1
"3574",2016,"South Hadley",0,1
"3587",2016,"Southampton",1,1
"3600",2016,"Southborough",0,1
"3626",2016,"Southwick",1,1
"3678",2016,"Stockbridge",1,1
"3691",2016,"Stoneham",0,1
"3704",2016,"Stoughton",1,1
"3756",2016,"Sunderland",1,1
"3782",2016,"Swampscott",1,1
"3834",2016,"Tewksbury",1,1
"3873",2016,"Topsfield",1,1
"3886",2016,"Townsend",1,1
"3912",2016,"Tyngsborough",1,1
"3964",2016,"Wakefield",0,1
"3990",2016,"Walpole",0,1
"4003",2016,"Waltham",0,1
"4029",2016,"Wareham",1,1
"4081",2016,"Watertown",1,1
"4094",2016,"Wayland",0,1
"4120",2016,"Wellesley",0,1
"4276",2016,"Westfield",1,1
"4289",2016,"Westford",0,1
"4328",2016,"Weston",1,1
"4354",2016,"Westwood",0,1
"4380",2016,"Whately",1,1
"4393",2016,"Whitman",1,1
"4432",2016,"Williamstown",0,1
"4445",2016,"Wilmington",0,1
"4471",2016,"Winchester",0,1
"4523",2016,"Worcester",1,1
"4562",2016,"Yarmouth",0,1
"26",2017,"Acton",0,1
"52",2017,"Adams",0,1
"104",2017,"Amherst",0,1
"117",2017,"Andover",0,1
"143",2017,"Arlington",0,1
"195",2017,"Ashland",0,1
"221",2017,"Attleboro",0,1
"325",2017,"Belchertown",1,1
"351",2017,"Belmont",0,1
"429",2017,"Blackstone",0,1
"468",2017,"Boston",0,1
"533",2017,"Braintree",0,1
"546",2017,"Brewster",0,1
"559",2017,"Bridgewater",0,1
"572",2017,"Brimfield",0,1
"585",2017,"Brockton",0,1
"611",2017,"Brookline",0,1
"624",2017,"Buckland",0,1
"650",2017,"Cambridge",0,1
"663",2017,"Canton",0,1
"689",2017,"Carver",0,1
"702",2017,"Charlemont",0,1
"741",2017,"Chelmsford",0,1
"754",2017,"Chelsea",0,1
"858",2017,"Cohasset",0,1
"884",2017,"Concord",0,1
"936",2017,"Danvers",0,1
"962",2017,"Dedham",0,1
"975",2017,"Deerfield",1,1
"1027",2017,"Dover",0,1
"1079",2017,"Duxbury",0,1
"1131",2017,"Eastham",0,1
"1157",2017,"Easton",0,1
"1183",2017,"Egremont",0,1
"1209",2017,"Essex",0,1
"1261",2017,"Falmouth",0,1
"1300",2017,"Foxborough",0,1
"1313",2017,"Framingham",0,1
"1326",2017,"Franklin",0,1
"1378",2017,"Gill",0,1
"1391",2017,"Gloucester",0,1
"1430",2017,"Grafton",0,1
"1469",2017,"Great Barrington",0,1
"1482",2017,"Greenfield",0,1
"1521",2017,"Hadley",0,1
"1534",2017,"Halifax",0,1
"1547",2017,"Hamilton",0,1
"1586",2017,"Hanover",0,1
"1651",2017,"Hatfield",0,1
"1729",2017,"Holbrook",0,1
"1781",2017,"Holyoke",0,1
"1794",2017,"Hopedale",0,1
"1833",2017,"Hudson",0,1
"1846",2017,"Hull",0,1
"1885",2017,"Kingston",0,1
"1924",2017,"Lanesborough",1,1
"1937",2017,"Lawrence",0,1
"1950",2017,"Lee",0,1
"1976",2017,"Lenox",0,1
"2002",2017,"Leverett",0,1
"2015",2017,"Lexington",0,1
"2041",2017,"Lincoln",0,1
"2080",2017,"Lowell",0,1
"2145",2017,"Malden",0,1
"2171",2017,"Mansfield",0,1
"2184",2017,"Marblehead",0,1
"2197",2017,"Marion",0,1
"2210",2017,"Marlborough",0,1
"2223",2017,"Marshfield",0,1
"2236",2017,"Mashpee",0,1
"2262",2017,"Maynard",0,1
"2275",2017,"Medfield",0,1
"2288",2017,"Medford",0,1
"2301",2017,"Medway",0,1
"2314",2017,"Melrose",0,1
"2327",2017,"Mendon",0,1
"2353",2017,"Methuen",0,1
"2392",2017,"Middleton",0,1
"2405",2017,"Milford",0,1
"2431",2017,"Millis",0,1
"2457",2017,"Milton",0,1
"2496",2017,"Montague",0,1
"2574",2017,"Natick",0,1
"2587",2017,"Needham",0,1
"2691",2017,"Newton",0,1
"2704",2017,"Norfolk",0,1
"2717",2017,"North Adams",0,1
"2730",2017,"North Andover",0,1
"2743",2017,"North Attleboro",0,1
"2769",2017,"North Reading",0,1
"2782",2017,"Northampton",0,1
"2795",2017,"Northborough",0,1
"2847",2017,"Norwell",0,1
"2860",2017,"Norwood",0,1
"2912",2017,"Orleans",0,1
"2977",2017,"Peabody",0,1
"3068",2017,"Pittsfield",0,1
"3094",2017,"Plainville",0,1
"3146",2017,"Provincetown",0,1
"3172",2017,"Randolph",0,1
"3198",2017,"Reading",0,1
"3276",2017,"Rockport",0,1
"3354",2017,"Salem",0,1
"3406",2017,"Saugus",0,1
"3432",2017,"Scituate",0,1
"3458",2017,"Sharon",0,1
"3484",2017,"Shelburne",0,1
"3497",2017,"Sherborn",0,1
"3562",2017,"Somerville",0,1
"3575",2017,"South Hadley",0,1
"3588",2017,"Southampton",0,1
"3601",2017,"Southborough",0,1
"3627",2017,"Southwick",0,1
"3679",2017,"Stockbridge",0,1
"3692",2017,"Stoneham",0,1
"3705",2017,"Stoughton",0,1
"3757",2017,"Sunderland",0,1
"3783",2017,"Swampscott",0,1
"3835",2017,"Tewksbury",0,1
"3874",2017,"Topsfield",0,1
"3887",2017,"Townsend",0,1
"3913",2017,"Tyngsborough",0,1
"3965",2017,"Wakefield",0,1
"3991",2017,"Walpole",0,1
"4004",2017,"Waltham",0,1
"4030",2017,"Wareham",0,1
"4082",2017,"Watertown",0,1
"4095",2017,"Wayland",0,1
"4121",2017,"Wellesley",0,1
"4277",2017,"Westfield",0,1
"4290",2017,"Westford",0,1
"4329",2017,"Weston",0,1
"4355",2017,"Westwood",0,1
"4381",2017,"Whately",0,1
"4394",2017,"Whitman",0,1
"4433",2017,"Williamstown",0,1
"4446",2017,"Wilmington",0,1
"4472",2017,"Winchester",0,1
"4524",2017,"Worcester",0,1
"4563",2017,"Yarmouth",0,1
