"","year","TownName","Event"
"24",2015,"Acton",1
"51",2016,"Adams",1
"102",2015,"Amherst",1
"115",2015,"Andover",1
"141",2015,"Arlington",1
"193",2015,"Ashland",1
"220",2016,"Attleboro",1
"325",2017,"Belchertown",1
"349",2015,"Belmont",1
"428",2016,"Blackstone",1
"466",2015,"Boston",1
"530",2014,"Braintree",1
"544",2015,"Brewster",1
"557",2015,"Bridgewater",1
"569",2014,"Brimfield",1
"584",2016,"Brockton",1
"609",2015,"Brookline",1
"622",2015,"Buckland",1
"648",2015,"Cambridge",1
"660",2014,"Canton",1
"688",2016,"Carver",1
"700",2015,"Charlemont",1
"740",2016,"Chelmsford",1
"753",2016,"Chelsea",1
"857",2016,"Cohasset",1
"881",2014,"Concord",1
"934",2015,"Danvers",1
"959",2014,"Dedham",1
"975",2017,"Deerfield",1
"1024",2014,"Dover",1
"1077",2015,"Duxbury",1
"1129",2015,"Eastham",1
"1156",2016,"Easton",1
"1182",2016,"Egremont",1
"1208",2016,"Essex",1
"1260",2016,"Falmouth",1
"1297",2014,"Foxborough",1
"1311",2015,"Framingham",1
"1325",2016,"Franklin",1
"1376",2015,"Gill",1
"1390",2016,"Gloucester",1
"1429",2016,"Grafton",1
"1468",2016,"Great Barrington",1
"1480",2015,"Greenfield",1
"1520",2016,"Hadley",1
"1533",2016,"Halifax",1
"1546",2016,"Hamilton",1
"1585",2016,"Hanover",1
"1649",2015,"Hatfield",1
"1728",2016,"Holbrook",1
"1779",2015,"Holyoke",1
"1793",2016,"Hopedale",1
"1830",2014,"Hudson",1
"1844",2015,"Hull",1
"1883",2015,"Kingston",1
"1924",2017,"Lanesborough",1
"1935",2015,"Lawrence",1
"1949",2016,"Lee",1
"1975",2016,"Lenox",1
"2000",2015,"Leverett",1
"2013",2015,"Lexington",1
"2039",2015,"Lincoln",1
"2079",2016,"Lowell",1
"2143",2015,"Malden",1
"2170",2016,"Mansfield",1
"2183",2016,"Marblehead",1
"2196",2016,"Marion",1
"2208",2015,"Marlborough",1
"2221",2015,"Marshfield",1
"2235",2016,"Mashpee",1
"2261",2016,"Maynard",1
"2274",2016,"Medfield",1
"2287",2016,"Medford",1
"2298",2014,"Medway",1
"2311",2014,"Melrose",1
"2325",2015,"Mendon",1
"2351",2015,"Methuen",1
"2391",2016,"Middleton",1
"2404",2016,"Milford",1
"2429",2015,"Millis",1
"2455",2015,"Milton",1
"2494",2015,"Montague",1
"2572",2015,"Natick",1
"2575",2005,"Needham",1
"2688",2014,"Newton",1
"2703",2016,"Norfolk",1
"2716",2016,"North Adams",1
"2728",2015,"North Andover",1
"2742",2016,"North Attleboro",1
"2768",2016,"North Reading",1
"2781",2016,"Northampton",1
"2793",2015,"Northborough",1
"2846",2016,"Norwell",1
"2857",2014,"Norwood",1
"2911",2016,"Orleans",1
"2976",2016,"Peabody",1
"3067",2016,"Pittsfield",1
"3093",2016,"Plainville",1
"3145",2016,"Provincetown",1
"3171",2016,"Randolph",1
"3195",2014,"Reading",1
"3275",2016,"Rockport",1
"3352",2015,"Salem",1
"3404",2015,"Saugus",1
"3429",2014,"Scituate",1
"3454",2013,"Sharon",1
"3482",2015,"Shelburne",1
"3494",2014,"Sherborn",1
"3561",2016,"Somerville",1
"3573",2015,"South Hadley",1
"3587",2016,"Southampton",1
"3599",2015,"Southborough",1
"3626",2016,"Southwick",1
"3678",2016,"Stockbridge",1
"3689",2014,"Stoneham",1
"3704",2016,"Stoughton",1
"3756",2016,"Sunderland",1
"3782",2016,"Swampscott",1
"3834",2016,"Tewksbury",1
"3873",2016,"Topsfield",1
"3886",2016,"Townsend",1
"3912",2016,"Tyngsborough",1
"3962",2014,"Wakefield",1
"3989",2015,"Walpole",1
"4002",2015,"Waltham",1
"4029",2016,"Wareham",1
"4081",2016,"Watertown",1
"4093",2015,"Wayland",1
"4118",2014,"Wellesley",1
"4276",2016,"Westfield",1
"4287",2014,"Westford",1
"4328",2016,"Weston",1
"4352",2014,"Westwood",1
"4380",2016,"Whately",1
"4393",2016,"Whitman",1
"4431",2015,"Williamstown",1
"4444",2015,"Wilmington",1
"4469",2014,"Winchester",1
"4523",2016,"Worcester",1
"4560",2014,"Yarmouth",1
